Pathway,Description,F_JC1,F_JC2,F_JC3,F_JC4,S_MC5,F_LW3,F_LW2,F_LW1,F_JC5,F_MC2,F_MC1,F_LW5,F_LW4,F_MC4,F_MC3,S_JC1,F_MC5,S_JC4,S_JC3,S_JC2,S_MC3,S_MC4,S_LW2,S_LW3,S_JC5,S_LW1,S_MC1,S_MC2,S_LW4,S_LW5,Pathwaymap,Total
ko00642,Ethylbenzene degradation,68,96,172,128,158,196,78,308,106,112,68,380,238,136,136,134,100,118,74,36,80,100,94,146,144,230,100,62,142,154,http://www.genome.jp/kegg-bin/show_pathway?ko00642+K00632,4094
ko00643,Styrene degradation,2524,2144,3798,3302,3510,1794,1638,3028,3610,3254,2998,2474,2802,2604,4116,2472,3600,3036,2996,3112,3348,3566,3098,4144,3648,3268,2138,3964,3170,2948,http://www.genome.jp/kegg-bin/show_pathway?ko00643+K01039+K01026+K01426+K20627+K01040+K20626+K01501+K01502+K10216+K00446+K00146,92104
ko00650,Butanoate metabolism,202394,170228,213500,261108,224712,179580,153054,285816,232692,236726,226140,218096,230420,225478,206148,226266,215622,214800,224022,225882,257262,235316,211332,236580,275784,210554,235664,231474,237138,229390,http://www.genome.jp/kegg-bin/show_pathway?ko00650+K00175+K01652+K03737+K00174+K01580+K04072+K00239+K00656+K00244+K00240+K00626+K00170+K01715+K00074+K01039+K00929+K18119+K14534+K18122+K00823+K07246+K00132+K00248+K00241+K00169+K01034+K01035+K00172+K05973+K01653+K01640+K00171+K00634+K00004+K03366+K01641+K01615+K07250+K18120+K00135+K03821+K17865+K01028+K00209+K18118+K01799+K01907+K01040+K01575+K00100+K00019+K04073+K16871+K01029+K07516+K18009+K01782+K00023+K01692+K18121+K01825+K19709+K00245+K00022+K01896+K07511+K00246+K00247+K01027+K07515+K08318+K17761,6733178
ko00660,C5-Branched dibasic acid metabolism,39474,34228,40912,50302,47836,49008,40064,85516,39712,46516,44594,61096,63502,43914,39150,44438,36748,44528,42824,41320,47002,44592,58884,68790,56236,68812,45666,42946,64040,59830,http://www.genome.jp/kegg-bin/show_pathway?ko00660+K01652+K00052+K19268+K01703+K01903+K04835+K01704+K01653+K09011+K01902+K10218+K01846+K01575+K14472+K18289+K18288+K17724,1492480
ko00670,One carbon pool by folate,155420,127978,156204,198298,164058,114340,98162,180866,167472,174970,168178,127402,154370,170628,150466,168520,156182,163376,168538,167662,196306,174330,128140,143982,213596,137008,175964,167856,151110,137284,http://www.genome.jp/kegg-bin/show_pathway?ko00670+K00548+K00600+K01938+K00560+K00602+K03465+K00297+K00604+K01491+K00605+K11175+K00287+K01934+K01433+K00603+K13990+K01746+K08289+K00601+K13998+K00288+K00289+K13403+K11787,4758666
ko00680,Methane metabolism,261492,211892,263744,309666,294208,202970,179050,349512,277966,286232,292164,259482,276946,271348,250944,288462,261100,274202,276846,282228,306160,304898,271022,294478,336338,269512,300966,303948,282906,269534,http://www.genome.jp/kegg-bin/show_pathway?ko00680+K00831+K03389+K00600+K01895+K00401+K01624+K00925+K00058+K00198+K15633+K00197+K00625+K00170+K15634+K01689+K12234+K00577+K00850+K15635+K08093+K01834+K00018+K02446+K00319+K04041+K03388+K00399+K21071+K03390+K00400+K00024+K00123+K11529+K00169+K11212+K16793+K04480+K00580+K01007+K14083+K00172+K02203+K05979+K00194+K00205+K11261+K16176+K00578+K06034+K00583+K00171+K03841+K00584+K00320+K08094+K03518+K13812+K00200+K01622+K00441+K00440+K00579+K00127+K16370+K05884+K00125+K07072+K14080+K00672+K01079+K00402+K10977+K16792+K13039+K01499+K14940+K03421+K13788+K00918+K08097+K11780+K18933+K03520+K00203+K07144+K14081+K06914+K00201+K00581+K03422+K00122+K11645+K03519+K16306+K00202+K00121+K16178+K14941+K00124+K10978+K00196+K00443+K11260+K11781+K01623+K15022+K16305+K13831+K09733+K00442+K13942+K05299+K00582+K08264+K14084+K00830+K00863+K00204+K01595+K11532+K00148+K16179+K00193+K00126+K14082,8310216
ko00710,Carbon fixation in photosynthetic organisms,190978,158844,188632,234294,192196,153912,137046,242266,205258,207112,213804,175080,197450,203384,183226,202166,188668,193242,196634,195880,220206,206816,175626,189844,242128,185188,211976,197748,202552,190426,http://www.genome.jp/kegg-bin/show_pathway?ko00710+K00615+K01006+K00927+K01624+K00134+K01803+K01610+K01807+K02446+K04041+K01621+K11214+K00029+K00024+K01601+K01783+K01808+K03841+K00150+K11645+K01623+K00814+K01595+K14455+K11532+K14454+K00025+K00855,5882582
ko00720,Carbon fixation pathways in prokaryotes,340166,284340,348834,422692,365966,284796,249876,445980,376906,387204,381170,328400,373486,367404,333946,382902,346490,363538,370782,369706,421402,400088,324272,360542,457522,313978,400890,381352,371830,349528,http://www.genome.jp/kegg-bin/show_pathway?ko00720+K00175+K03737+K00031+K01895+K01006+K00174+K01938+K00239+K00925+K00244+K00198+K01903+K01681+K00240+K00626+K00197+K00625+K00170+K01848+K00297+K01960+K01491+K01679+K01676+K01847+K14534+K01962+K01677+K14138+K01961+K00024+K15023+K01958+K00241+K00169+K01678+K00176+K18209+K01007+K00172+K00177+K00194+K15024+K05606+K02160+K00171+K01959+K01963+K03518+K01902+K13788+K18210+K03520+K18556+K01849+K15019+K03519+K15039+K14472+K00196+K15022+K15016+K14465+K05299+K18604+K18594+K15036+K01595+K00245+K14466+K00246+K15234+K18560+K01682+K15052+K18593+K00247+K18861,10905988
ko00730,Thiamine metabolism,121466,100212,117858,151176,134552,89794,79370,139108,129908,139788,136124,111544,115098,131074,115134,131476,121662,131422,130124,127640,150828,142266,95756,107690,174122,99300,138782,130690,105572,97712,http://www.genome.jp/kegg-bin/show_pathway?ko00730+K04487+K01662+K00946+K03151+K03150+K06949+K00949+K00941+K03149+K01077+K03147+K00878+K00939+K03148+K00788+K06928+K14153+K03146+K21219+K03707+K14154+K21220+K10811+K05307+K01078,3697248
ko00740,Riboflavin metabolism,23098,20896,24608,29594,31524,35860,36754,54154,24860,29830,25808,40382,46412,27214,23800,31410,23754,30894,32178,28846,36094,31144,45182,41106,42008,45150,33030,27482,56796,56350,http://www.genome.jp/kegg-bin/show_pathway?ko00740+K20862+K11753+K14652+K19285+K09474+K00794+K11752+K02858+K00793+K08096+K14654+K21063+K21064+K14656+K07732+K19286+K14653+K01497+K14410+K01093+K20861+K20860+K01513+K14379+K00861+K20884+K01078+K00953+K14655+K03788+K00484,1036218
ko00750,Vitamin B6 metabolism,50256,42060,49952,62184,53072,38610,34472,61846,54090,57366,55638,44170,54048,54660,47800,55734,50098,55410,55644,53840,64452,58518,45774,49386,69214,45494,58430,53850,54640,53434,http://www.genome.jp/kegg-bin/show_pathway?ko00750+K00831+K03474+K01733+K00868+K00097+K03473+K08681+K06215+K00275+K13248+K05275+K18612,1584142
ko00760,Nicotinate and nicotinamide metabolism,117090,95834,116846,142966,132518,100396,93522,156900,125952,134122,131322,114926,130578,126574,111742,134680,116938,131772,137820,128324,158208,138162,114704,120558,171210,115140,141922,128008,129210,125942,http://www.genome.jp/kegg-bin/show_pathway?ko00760+K00278+K03783+K03784+K01916+K03517+K00763+K01950+K00969+K00858+K03787+K03742+K01081+K00767+K11751+K00325+K03426+K00324+K03462+K01239+K03743+K06211+K00952+K08281+K08693+K00135+K04765+K20450+K06989+K01799+K08723+K20445+K20448+K20447+K20451+K19647+K13522+K20454+K19970+K15358+K01240+K20449+K20446+K20453+K06210+K20452+K01513+K19190+K10524+K11121+K00323+K18551+K20881+K18153+K19819+K00322+K01440,3823886
ko00770,Pantothenate and CoA biosynthesis,92734,82710,95630,121396,116648,95980,80620,163178,99780,111450,103160,116424,130116,105584,92142,114150,92602,110340,108956,102874,124158,113130,125814,136604,142626,124628,118220,104626,135644,131134,http://www.genome.jp/kegg-bin/show_pathway?ko00770+K01652+K06133+K00606+K00826+K13038+K03525+K09722+K00053+K00077+K01687+K09680+K01918+K00859+K06982+K01653+K00997+K00954+K01579+K01598+K02201+K01464+K04765+K18933+K17722+K01922+K17723+K01431+K13799+K00207+K02318+K01513+K00867,3393058
ko00780,Biotin metabolism,54948,44108,53160,65808,62552,59682,50138,92116,55364,62398,58834,64252,78966,58892,51274,63856,50488,64252,63392,63354,75594,65288,66842,67488,83038,61650,66802,60572,77074,67712,http://www.genome.jp/kegg-bin/show_pathway?ko00780+K03524+K00059+K01012+K00647+K00208+K09458+K02372+K00652+K01935+K02169+K00833+K09789+K02170+K01906+K01942+K08351,1909894
ko00785,Lipoic acid metabolism,7566,5744,8640,10498,8508,5392,4604,7636,8462,8484,8832,5442,8202,9214,7646,8452,8054,8396,8684,8494,10546,9384,5982,6072,10802,4766,9474,8560,6940,7002,http://www.genome.jp/kegg-bin/show_pathway?ko00785+K03800+K03801+K03644,236478
ko00790,Folate biosynthesis,58214,47112,60910,72284,69924,57784,52352,94732,60074,69654,65942,72898,77884,65032,57936,70646,57856,68528,68692,65658,78398,72980,67982,69554,90210,82308,73338,65010,80652,77646,http://www.genome.jp/kegg-bin/show_pathway?ko00790+K11754+K00796+K01077+K03750+K08310+K00287+K01495+K03752+K03639+K07141+K10026+K00950+K03637+K01633+K01737+K06920+K09007+K06879+K18853+K09457+K13940+K03635+K01665+K13818+K13941+K03342+K01664+K02619+K13950+K03831+K01113+K13939+K13998+K20457+K18824+K18825+K01307+K20967,2072190
ko00791,Atrazine degradation,1014,1350,1752,2522,1410,1184,502,1132,1922,2170,1410,470,636,2290,1618,1344,1784,1644,1208,1418,1342,1788,228,504,1520,188,1650,1540,488,192,http://www.genome.jp/kegg-bin/show_pathway?ko00791+K01428+K03382+K01429+K01430+K01941+K14048+K01457+K01427+K14541+K03383,38220
ko00830,Retinol metabolism,612,470,732,782,1524,1778,1968,2564,872,614,760,2310,1386,666,630,790,738,850,618,758,610,926,2310,2040,1510,4450,726,870,1714,1768,http://www.genome.jp/kegg-bin/show_pathway?ko00830+K00001+K13953+K00121+K09516+K11147+K11154+K15734+K00699+K11153+K13980,38346
ko00860,Porphyrin and chlorophyll metabolism,76170,64354,83484,92288,100920,124000,118222,226374,84032,91434,87892,164108,167908,82036,80382,89924,80456,83214,77538,78712,81810,93180,170480,177194,100510,211434,90980,89320,185050,161886,http://www.genome.jp/kegg-bin/show_pathway?ko00860+K00231+K02230+K01885+K01195+K01719+K01599+K02233+K01749+K02304+K02188+K21611+K02232+K05936+K02190+K05895+K05934+K00595+K00768+K01698+K04720+K02492+K01845+K02227+K02303+K02226+K02224+K03394+K03795+K02496+K02231+K19221+K02191+K02189+K06042+K03399+K04032+K09882+K03594+K00230+K03404+K01772+K03405+K13542+K08260+K04034+K21612+K00798+K02302+K03403+K19712+K21610+K11337+K13541+K19073+K13540+K02495+K21480+K00699+K02225+K00435+K16651+K14163+K08099+K19054+K21479+K10960+K03428+K00218+K09883,3415292
ko00900,Terpenoid backbone biosynthesis,118632,101040,122086,151436,127030,99076,85828,160064,128938,140412,134310,116030,135006,132034,117428,128610,120338,127790,131492,125240,152410,137314,113530,125004,163702,108380,135726,126394,134232,130602,http://www.genome.jp/kegg-bin/show_pathway?ko00900+K00099+K00991+K01662+K00806+K06013+K00919+K00626+K03527+K13789+K02523+K03526+K06981+K15888+K01823+K12506+K01770+K00805+K00021+K00869+K13787+K00795+K01641+K13273+K05356+K00054+K00938+K01597+K00587+K15891+K21273+K12503+K05954+K00804+K11778+K05955+K08658+K10960+K12742+K00787+K15889,3830114
ko00901,Indole alkaloid biosynthesis,0,0,0,0,0,12,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://www.genome.jp/kegg-bin/show_pathway?ko00901+K08233,18
ko00902,Monoterpenoid biosynthesis,0,0,0,0,0,0,0,0,6,4,8,0,0,0,12,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,http://www.genome.jp/kegg-bin/show_pathway?ko00902+K15095,36
ko00903,Limonene and pinene degradation,7068,7004,7574,10808,8616,5642,3508,7688,7436,9734,7694,5296,6304,9292,7218,9392,6928,9048,9616,9492,10974,9270,3466,4398,11170,6082,10004,8414,3986,3238,http://www.genome.jp/kegg-bin/show_pathway?ko00903+K00128+K14731+K01782+K01692+K01825,226360
ko00905,Brassinosteroid biosynthesis,0,0,0,0,0,150,248,88,0,0,0,334,14,0,0,0,0,0,0,2,0,0,172,76,0,78,0,0,52,46,http://www.genome.jp/kegg-bin/show_pathway?ko00905+K09591+K20623+K15639,1260
ko00906,Carotenoid biosynthesis,2694,2222,2192,2606,2722,1644,1662,5536,2486,2764,2924,3464,3036,2110,2194,2432,2432,2526,2118,2156,1928,2826,2308,3582,2570,2494,2174,2844,2088,2246,http://www.genome.jp/kegg-bin/show_pathway?ko00906+K09835+K10212+K02291+K10027+K09838+K02293+K14606,76980
ko00908,Zeatin biosynthesis,15716,12078,16510,20108,15542,13020,11430,20666,16642,17584,17420,14332,18130,17382,15544,16950,15430,16118,17352,17084,21590,17284,13310,14314,21304,13804,18624,16128,17202,16890,http://www.genome.jp/kegg-bin/show_pathway?ko00908+K00791,495488
ko00909,Sesquiterpenoid and triterpenoid biosynthesis,372,96,306,652,1222,1298,944,1332,398,162,332,1066,1100,526,218,614,452,808,704,598,890,530,430,202,1230,170,690,478,538,192,http://www.genome.jp/kegg-bin/show_pathway?ko00909+K00801+K06045+K15891,18550
ko00910,Nitrogen metabolism,79474,68584,85730,103622,115526,119958,105258,184392,91526,92608,89390,134928,154532,86778,80978,125756,83310,129290,125890,120656,144728,141242,143764,152614,147210,143366,126600,119874,162042,146326,http://www.genome.jp/kegg-bin/show_pathway?ko00910+K01915+K00261+K00262+K05601+K00266+K00265+K02588+K00926+K00372+K01673+K00362+K03385+K15876+K00260+K00366+K10534+K00284+K00459+K01501+K02586+K02567+K00367+K02591+K00374+K00370+K15371+K01455+K01674+K02575+K15578+K00371+K00264+K01725+K00360+K01672+K01948+K00376+K02568+K15579,3605952
ko00920,Sulfur metabolism,50180,44990,48748,61512,52438,54762,43192,99166,56358,63600,57062,64866,64540,53670,47902,51310,53026,53372,48246,52026,56024,55082,59024,67874,64040,62808,53252,52962,65140,59784,http://www.genome.jp/kegg-bin/show_pathway?ko00920+K06881+K01738+K15553+K00651+K15555+K01739+K00955+K00640+K07307+K01082+K11181+K16950+K16951+K07306+K00957+K00956+K00390+K00860+K15552+K17218+K02048+K00385+K15554+K00380+K12339+K00958+K01011+K00394+K07308+K02046+K02045+K00392+K21308+K08352+K11180+K02439+K08353+K10831+K08358+K15551+K00395+K02047+K16937+K13811+K21307+K17228+K17217+K17224+K16955+K17069+K16954+K00381+K08738+K20035,1716956
ko00930,Caprolactam degradation,754,570,608,844,368,1692,2042,3896,500,666,662,2218,2356,664,834,512,462,604,450,560,500,806,1934,1758,468,3960,620,634,1740,1684,http://www.genome.jp/kegg-bin/show_pathway?ko00930+K01053+K14731+K00002+K01782+K01692+K01825+K06446+K00022+K07511+K17754+K07515,35366
ko00940,Phenylpropanoid biosynthesis,77932,63628,70292,80662,66830,105302,112320,143386,80638,81136,82802,128422,130870,66936,62568,70894,72228,71252,76828,77016,89510,80642,89810,95696,87408,61910,74478,76204,100094,80572,http://www.genome.jp/kegg-bin/show_pathway?ko00940+K05349+K05350+K03186+K01188+K00588+K01904+K00083+K03782+K10775+K12355+K00430,2558266
ko00941,Flavonoid biosynthesis,14,2,0,2,14,0,0,0,28,26,10,0,0,4,0,0,16,6,0,2,0,10,0,0,2,0,0,8,0,0,http://www.genome.jp/kegg-bin/show_pathway?ko00941+K00588,144
ko00944,Flavone and flavonol biosynthesis,3854,3120,2572,3012,2742,3402,4454,5164,3104,3132,3994,4898,4772,2240,2428,3256,2456,3554,3432,3184,3814,3750,4838,4344,3974,2868,3102,3192,5134,3644,http://www.genome.jp/kegg-bin/show_pathway?ko00944+K01195,107430
ko00945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis",14,2,0,2,14,0,0,0,28,26,10,0,0,4,0,0,16,6,0,2,0,10,0,0,2,0,0,8,0,0,http://www.genome.jp/kegg-bin/show_pathway?ko00945+K00588,144
ko00950,Isoquinoline alkaloid biosynthesis,19300,16544,19864,23024,22518,19838,20086,30396,20954,22932,22020,23672,24970,20280,19266,21262,19318,22072,22446,22054,26708,23136,25292,24630,28822,25606,23336,21218,29204,28830,http://www.genome.jp/kegg-bin/show_pathway?ko00950+K00812+K11358+K00832+K00813+K15849+K14455+K14454,689598
ko00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",28460,24114,28848,34202,33448,29904,29462,46664,30860,33150,32444,34474,37716,30126,27916,30928,28860,33052,31992,32070,38076,33896,36964,37740,42436,37578,33530,31794,41948,40406,http://www.genome.jp/kegg-bin/show_pathway?ko00960+K00817+K00812+K11358+K00808+K00832+K01582+K13607+K00813+K08081+K15849+K13609+K14455+K19064+K14454,1013058
ko00965,Betalain biosynthesis,0,0,0,0,0,6,30,16,0,0,0,108,50,0,0,0,0,20,0,0,0,6,6,24,0,2,0,0,2,90,http://www.genome.jp/kegg-bin/show_pathway?ko00965+K15777,360
ko00966,Glucosinolate biosynthesis,7246,6234,6854,8986,8622,8184,7314,13928,7308,7956,7770,10556,11060,7614,6430,7718,6302,8178,7812,7294,8452,7542,9808,11216,10230,10054,7756,7322,10286,9406,http://www.genome.jp/kegg-bin/show_pathway?ko00966+K01703,255438
ko00970,Aminoacyl-tRNA biosynthesis,588304,475910,560568,699422,578178,423364,371148,673650,616628,625372,647970,495990,554290,612318,546334,601852,572224,578228,589232,588818,660904,628194,489620,529864,718166,493208,617948,605822,538868,511370,http://www.genome.jp/kegg-bin/show_pathway?ko00970+K01872+K01870+K01892+K01890+K01883+K01869+K01876+K01886+K01874+K01893+K01880+K04567+K01887+K01889+K01881+K01875+K02433+K01868+K01866+K01885+K01867+K01873+K00604+K02434+K01879+K04566+K09759+K03330+K01878+K02435+K01042+K09482+K09698+K07587+K06868+K01884+K03341+K11627+K14163+K14164,17193764
ko00980,Metabolism of xenobiotics by cytochrome P450,804,370,594,744,1480,2150,3272,3212,672,616,840,2702,1446,640,500,852,632,922,724,812,600,1036,2390,2104,1592,4584,762,900,1844,1888,http://www.genome.jp/kegg-bin/show_pathway?ko00980+K15303+K00001+K13953+K00121+K00799+K00078+K15680+K00129+K00699+K00079+K04097+K01253+K13980,41684
ko00981,Insect hormone biosynthesis,6478,6478,6998,10016,8290,4922,3016,5080,6974,9162,7176,4120,5394,8662,6466,8992,6482,8460,9186,8964,10540,8494,2388,3218,10760,2376,9510,7806,2846,2164,http://www.genome.jp/kegg-bin/show_pathway?ko00981+K00128,201418
ko00982,Drug metabolism - cytochrome P450,690,324,566,716,1362,1938,2888,2410,538,542,706,2412,1172,596,448,762,474,764,578,660,502,848,2190,1790,1460,4250,674,738,1594,1662,http://www.genome.jp/kegg-bin/show_pathway?ko00982+K00001+K13953+K00121+K00799+K00129+K00699+K04097+K13980+K00485,36254
ko00983,Drug metabolism - other enzymes,90544,75456,90010,106920,100856,80822,74490,125478,96906,99678,101018,95700,107700,94356,85820,104786,87444,106604,109834,104564,128764,117420,92534,96960,128142,81480,110936,104750,104638,96668,http://www.genome.jp/kegg-bin/show_pathway?ko00983+K01951+K00876+K00088+K01195+K00757+K00857+K00760+K01489+K01464+K00758+K01431+K00207+K00106+K01519+K00699+K03927+K01044+K00622,3001278
ko00984,Steroid degradation,6,4,10,4,20,58,10,86,24,8,10,142,36,0,16,20,30,32,10,16,28,36,64,88,22,28,2,24,88,46,http://www.genome.jp/kegg-bin/show_pathway?ko00984+K18687+K05898+K16050+K16051+K15983,968
ko01040,Biosynthesis of unsaturated fatty acids,19460,14972,19158,22458,18306,15038,14622,23228,20258,21136,21160,17062,18976,19952,18790,18544,18088,19324,18650,19252,21996,20290,15182,15580,23022,13476,19654,19806,16816,14302,http://www.genome.jp/kegg-bin/show_pathway?ko01040+K00059+K10804+K01782+K10805+K10258+K10251+K01825+K10806+K07513+K10703+K01068+K07515+K00232,558558
ko01051,Biosynthesis of ansamycins,32802,26690,32004,40250,32716,26798,21286,47672,35668,35362,36698,33046,35908,33812,30998,32336,32272,32014,32634,32444,35876,34894,31332,37406,40298,43658,34594,33032,37730,33330,http://www.genome.jp/kegg-bin/show_pathway?ko01051+K00615+K16017+K15670+K16027,1025560
ko01052,Type I polyketide structures,8,6,6,12,8,34,0,0,0,2,20,8,4,6,2,10,0,6,0,20,2,6,8,12,14,28,16,4,16,4,http://www.genome.jp/kegg-bin/show_pathway?ko01052+K16417+K16391+K15670+K16378+K16027+K16397+K16416,262
ko01053,Biosynthesis of siderophore group nonribosomal peptides,1994,1134,1426,1618,2210,2692,3186,2642,1066,1540,1790,2658,3096,1484,1452,1406,868,1524,1742,1012,2440,1680,2208,1824,3482,674,1552,916,2494,2028,http://www.genome.jp/kegg-bin/show_pathway?ko01053+K02361+K04784+K04783+K04780+K00216+K12239+K12240+K02364+K02552+K02363+K04782+K04789+K04788+K04792,55838
ko01054,Nonribosomal peptide structures,2634,2028,2280,3074,1716,2994,1624,4974,2682,2606,2902,2838,2854,2524,2394,1740,2582,2122,1996,2016,2348,2368,2408,3600,2070,2488,1948,2416,2746,2182,http://www.genome.jp/kegg-bin/show_pathway?ko01054+K01779+K15668+K15654+K16124+K15667+K16097+K16120+K16094+K16119+K15662+K15655+K16095+K16122+K15664+K15665+K16123+K15656+K15666+K16093+K15663+K15661+K16118,75154
ko01055,Biosynthesis of vancomycin group antibiotics,11586,9342,10526,14300,13074,10756,8942,17252,10574,12830,12452,13920,14428,12978,9996,12974,10334,12706,13162,13248,15134,13500,13798,14638,16902,14144,13678,12124,15754,14152,http://www.genome.jp/kegg-bin/show_pathway?ko01055+K01710+K16435+K16423+K16429+K16436+K16422+K16428,389204
ko01056,Biosynthesis of type II polyketide backbone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,0,2,0,0,0,0,0,4,0,0,http://www.genome.jp/kegg-bin/show_pathway?ko01056+K12420,20
ko01057,Biosynthesis of type II polyketide products,10,2,0,0,6,0,0,0,22,0,6,0,0,0,0,0,12,4,2,0,0,0,0,0,18,0,0,10,0,0,http://www.genome.jp/kegg-bin/show_pathway?ko01057+K15971,92
ko01059,Biosynthesis of enediyne antibiotics,0,6,0,2,8,92,0,32,2,10,0,18,6,0,2,2,0,8,0,6,10,6,6,6,10,0,6,2,0,0,http://www.genome.jp/kegg-bin/show_pathway?ko01059+K21224+K15314,240
ko01200,Carbon metabolism,847140,694358,851298,1034744,884690,674358,591444,1090220,918428,936584,949566,799984,890816,900008,817034,904336,849046,868652,880014,884974,996688,948160,793266,872742,1085268,798184,946220,915004,889256,841258,http://www.genome.jp/kegg-bin/show_pathway?ko01200+K00831+K00627+K03389+K00948+K00175+K01810+K00283+K00600+K03737+K00615+K00031+K01895+K00261+K01006+K00174+K00927+K00845+K01738+K00401+K01624+K01938+K01647+K00239+K00925+K00134+K19268+K00058+K01752+K00244+K00198+K15633+K01903+K01681+K00240+K00626+K00197+K00625+K00027+K00170+K15634+K01848+K01803+K01689+K00577+K00297+K01960+K00850+K00873+K15635+K08093+K01834+K01625+K03738+K01715+K01610+K01807+K01754+K00382+K01491+K00018+K00033+K01679+K02446+K00319+K01676+K04041+K18119+K01847+K03781+K03388+K00399+K07404+K01966+K14534+K00605+K00874+K01962+K18122+K03390+K00030+K01677+K14138+K00029+K00926+K01961+K00640+K04835+K00024+K15023+K00123+K00281+K01601+K00248+K01958+K11529+K00241+K00169+K01783+K01678+K00176+K01053+K18209+K04480+K00580+K01007+K14083+K00172+K00177+K01808+K00194+K15024+K00205+K11261+K00282+K05606+K16176+K00140+K00578+K02160+K00583+K00171+K03841+K00116+K00584+K01959+K01963+K00320+K08094+K00658+K03518+K13812+K00200+K00034+K00616+K01622+K00249+K00579+K00127+K16370+K00036+K00150+K00125+K00851+K14080+K18120+K01902+K00672+K01079+K00402+K01499+K06859+K15916+K13788+K00918+K18210+K03520+K01965+K00203+K17865+K12339+K01846+K18556+K00209+K18118+K01849+K14081+K00201+K00581+K19312+K00122+K11645+K15019+K03519+K16306+K00844+K00202+K00121+K16178+K00124+K00161+K15039+K14472+K00196+K11260+K00162+K01623+K07516+K15022+K00131+K16305+K01057+K13831+K01782+K14446+K00023+K00234+K15016+K13942+K14465+K15918+K18121+K05299+K01825+K01455+K00582+K08264+K00814+K11517+K14084+K00830+K00863+K01899+K13810+K15036+K00886+K00204+K01595+K14455+K00245+K14466+K11532+K00148+K11942+K11263+K14454+K16179+K07511+K01900+K01638+K01637+K00246+K17989+K00025+K01948+K15234+K18560+K05605+K01682+K17069+K15052+K00247+K18022+K00164+K00163+K18127+K00193+K07515+K15919+K00126+K08318+K19269+K18861+K00855+K14082,26353740
ko01210,2-Oxocarboxylic acid metabolism,212306,179398,209690,258152,236746,183850,156698,309800,228302,243284,238456,223464,244670,225488,205632,229604,209490,229336,229132,221032,256376,238924,221832,253504,289544,226726,236964,229530,243318,228204,http://www.genome.jp/kegg-bin/show_pathway?ko01210+K01652+K05825+K00052+K00031+K01649+K00826+K01647+K01703+K01681+K00928+K00133+K00812+K00145+K00620+K00053+K00821+K00930+K11358+K01687+K00030+K00619+K16793+K01704+K01653+K09011+K14260+K14682+K00836+K01438+K10977+K16792+K10978+K00813+K00814+K14455+K14681+K05830+K14454+K01682+K05824+K00818,6899452
ko01212,Fatty acid metabolism,122952,103224,125256,152374,135826,128470,123914,190414,125912,145502,128796,142242,165230,133894,118654,140160,115408,140236,148128,142926,182222,148898,134032,134364,183100,112712,149714,136962,152290,144734,http://www.genome.jp/kegg-bin/show_pathway?ko01212+K00059+K01897+K02371+K00626+K00648+K00647+K01962+K00645+K01961+K00208+K00248+K09458+K02372+K02160+K01963+K16363+K00249+K13767+K00632+K00209+K10781+K07516+K01782+K10780+K01692+K10258+K10251+K01716+K01825+K07512+K00667+K07508+K00022+K10527+K11263+K15013+K07511+K09478+K01074+K07513+K10703+K07515+K11533+K00232,4208546
ko01220,Degradation of aromatic compounds,12210,10294,8266,12748,11856,11368,9760,21020,10876,11150,12916,13458,13248,10842,8956,13584,9412,13332,11998,10464,11612,13716,16890,20246,13582,18532,12480,11430,13538,12992,http://www.genome.jp/kegg-bin/show_pathway?ko01220+K04072+K01666+K13954+K00483+K01053+K14731+K01607+K00001+K13953+K07535+K01856+K01821+K00121+K04073+K00002+K00055+K01055+K00480+K00529+K07540+K05784+K05711+K10216+K10219+K02554+K18067+K05921+K00446+K07543+K16050+K04108+K01617+K07548+K05714+K04113+K05712+K00484+K00481+K03381+K04112+K18364,382776
